query,keywords
"free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.",free;companies (established business & startups);name;description of what it does;location(s);products;services
free datasets of companies for data science analysis,free;companies
"free datasets of companies including name,location,products/services",free;companies;name;location;products;services
"US businesses, name, a description of what it does, location(s), products/services offered",US;businesses;name;description of what it does;location(s)
"Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase",Crunchbase;name;a description of its role;location;product offerings
data from devices NYC bus taxi,NYC;from devices
data from large number of devices,from large number of devices
"Data from a large number of devices, such as vehicles with sensors",from a large number of devices;vehicles with sensors
datasets contains data from a large number of devices,from a large number of devices
"need data from a large number of devices,like data from 1000s of sensors/vehicles.The larger the better.",1000s;from a large number of devices;sensors/vehicles
large datasets about data detected from devices like sensors/vehiles,from devices;sensors/vehiles
large number of devices datasets,devices
"datasets containing data from a large number of devices ,data from 1000s of sensors/vehicles of some kind",1000s;from a large number of devices;sensors/vehicles
"devices, sensors/vehicles of some kind, large number","devices, sensors/vehicles"
"I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi ",NYC;NYC;vehicles and sensors
dataset of websites tagged by the verticals they are working or their types,websites;verticals;types
tagged dataset about website type,website;type
Provide websites tagged by the verticals they are working or their types.,websites;verticals;types
dataset of websites with its vertical types,websites;vertical;types
provide dataset of websites tagged by the verticals they are working or their types ,websites;verticals;types
"dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking",Amazon.com;fb.com;topic tags of websites
website datasets tagged by the verticals of types,website;verticals of types
dataset of websites tagged by the verticals they are working or their types,websites;verticals;types
"tagged website, vertical types, tagged, ",website;vertical;types
somedatasets of websites tagged by the verticals they are working or their types,websites;verticals;types
open tables from and e-commerce backend,open;tables;from and e-commerce backend
open dataset about table from e-commerce backend,open;table;from e-commerce backend
Open sources dataset that contains significant tables from e-commerce backend.,Open sources;tables;from e-commerce backend
dataset of e-commerce backend,e-commerce backend
open source data about significant (or all) the tables from e-commerce backend,open source;tables;from e-commerce backend
"open sourced dataset contains tables from e-commerce backend like a non-profit's membership management system, or a small restaurant backend",open sourced;tables;from e-commerce backend
open source datasets contains e-commerce backend,open source;e-commerce backend
"open sources,  contains significant (or all) the tables from and e-commerce backend",open sources;tables;from and e-commerce backend
"store , membership management system, e-commerce backend",e-commerce backend
open sourced dataset contains significant the tables from e-commerce backend,open sourced;tables;from e-commerce backend
bacteria infectiousness symptoms,bacteria;infectiousness;symptoms
bacteria infectiousness and symptoms data,bacteria;infectiousness;symptoms
The infectiousness and symptoms of bacteria (not viruses or fungi).,infectiousness;symptoms;bacteria
"dataset of bacteria, infectiousness, symptoms or its relative datasets",bacteria;infectiousness;symptoms
a dataset of bacteria (not viruses or fungi) or  infectiousness pr symptoms or something of the sort,bacteria (not viruses or fungi);infectiousness;symptoms
"biomedical dtaset relating bacteria, infectiousness, symptoms, genome",biomedical;bacteria;infectiousness;symptoms;genome
"datasets related to bacteria, infectiousness, symptoms or something of the sort",bacteria;infectiousness;symptoms
dataset relating:1. bacteria (not viruses or fungi) 2. infectiousness 3. symptoms,bacteria (not viruses or fungi);infectiousness;symptoms
"bacteria, infectiousness, symptoms, genomic sequencing",bacteria;infectiousness;symptoms;genomic sequencing
"bacteria, infectiousness and symptoms dataset",bacteria;infectiousness;symptoms
news articles metadata 100k publications 15 years author names legitimately,15 years;100k;news articles;author names
author name and year published metadata of news articles,author name;year published;news articles
medadata about news articles which are from more  than 5 publications and span more than 15 years.,15 years;5;news articles
 dataset of large scale news articles' metadata,news articles
provide all about articlewith author names + year published  of news articles,article;author names;year published;news articles
"large dataset about metadata of news articles contains author names, year published, source, spans 15+ years of articles",15+ years;news articles;author names;year published;source
datasets with metadata about news articles,news articles
"100k+ news artivles,  5+ publications,Spans 15+ years of articles,each articlewith author names + year published,sourced legitimately",15+ years;100k+;5+;author names;year published
"100k+ news article, 5+ publications, author names + year published, 15+ years, source legitimately",15+ years;100k+;5+;author names;year published
metadata about 100k+ new articles ,100k+;new articles
"cyber-related incidents handled in companies Mitigatoin, MISP, CERT, CSIRT, Intrusion Response / Recovery, Incident Response / Recovery, Fixing, Technical Procedures",MISP;CERT;CSIRT;cyber-related incidents handled in companies
data about cyber-related incidents handle in company,cyber-related incidents handle in company
Information on how cyber-related incidents were handled in companies(e.g. by CERTs).,CERTs;cyber-related incidents were handled in companies
dataset contains information on how cyber-related incidents were handled in companies ,cyber-related incidents were handled in companies
 information of cyber-related incidents of companies,cyber-related incidents of companies
"dataset contains information on how cyber-related incidents were handled in companies (e.g. by CERTs), with relevant incidents, suspectful behaviour",CERTs;how cyber-related incidents were handled in companies
datasets contains cyber-related incidents solutions,cyber-related incidents solutions
"how cyber-related incidents were handled in companies,Mitigatoin, MISP, CERT, CSIRT,Fixing, Technical Procedures, Threat-indicator sharing",MISP;CERT;CSIRT;how cyber-related incidents were handled in companies
"cyber-related incidents, Cyber Recovery, MISP,  Incident Response, Mitigatoin",MISP;cyber-related incidents;Cyber Recovery
Datasets for some companies to process information about network-related things,network-related things
cloud instances on platforms like Azure and Amazon Web Services type network usage,cloud instances;Azure;Amazon Web Services;network usage
infrastructure and performance data of cloud instances,infrastructure;performance;cloud instances
" Data of cloud instances on platforms like Azure and Amazon, e.g. the infrastructure of the instance against performance metrics ",cloud instances on platforms;Azure;Amazon;infrastructure
datasets that show data of cloud instances on platforms like Azure and Amazon Web Services,cloud instances on platforms;Azure;Amazon Web Services
datasets of cloud instances especially contains infrastructure of the instance,cloud instances;infrastructure
"data about platforms  like Azure and Amazon Web Services include the infrastructure (e.g. assigned memory),  performance metrics",Azure;Amazon Web Services;infrastructure;performance metrics
datasets showing by cloud instances,cloud instances
"data of cloud instances on platforms like Azure and Amazon ,infrastructure of the instance",cloud instances on platforms;Azure;Amazon;infrastructure
"cloud instance, performance metric, infrastructure, platforms ",cloud instance;performance metric;infrastructure
datasets about cloud instances on platforms,cloud instances on platforms
open biological health informatics binary label,open;biological;health informatics;binary label
open biological datasets and open open health informatics datasets in which each element has a binary or valued label,open;open;open;biological;health informatics;binary;valued
open binary or real value labeled datasets about biological or health informatics,open;binary;real value;biological;health informatics
open biological datasets and open open health informatics datasets£¬each element has a binary or a real valued label,open;open;open;biological;health informatics;binary;real valued
datasets for open biological with binary or real valued label,open;biological;binary;real valued
open biological datasets and open open health informatics datasets with binary or numerical attributes,open;open;open;biological;health informatics;binary;numerical
open datasets of biologic and health information,open;biologic;health
 open biological datasets and open open health informatics datasets,open;open;open;biological;health informatics
"biological , health informatics, binary label, real valued label",biological;health informatics;binary;real valued
open biological and health informatics datasets,open;biological;health informatics
datasets with longitude and latitude,longitude and latitude
dataset with longitude and latitude ,longitude and latitude
longitude and latitude data,longitude and latitude
" free datasets with longitude and latitude data,that be easy to read and can be imported into a mysql",free;mysql;longitude and latitude
datasets with longitude and latitude,longitude and latitude
datasets with longitude and latitude,longitude and latitude
datasets with longitude and latitude,longitude and latitude
"longitude and latitude data,efficient way to read, easy to import into a mysql database",mysql;longitude and latitude
"longitude and latitude, easy to read, import into mysql",mysql;longitude and latitude
"free datasets with longitude and latitude ,easy to read and easy to import into a mysql database",free;mysql;longitude and latitude
advertising number of billboards in a given country tv spot per year,advertising number;billboards;country tv spot;per year
data about advertising,advertising
"advertising data, e.g. the number of billboards and the number of tv spot displayed per year etc",advertising;billboards;tv spot;per year
datasets about advertising except figures and turnover in adevertising,figures;advertising;figures;turnover;adevertising
advertising dataset or relatively dataset,advertising
"datasets in advertising, includes anything that has a link with advertising",advertising;anything that has a link with advertising
advertising datasets,advertising
"a link with advertising, number of billboards,the number of tv spot displayed per year",link;advertising;billboards;tv spot;per year
"advertise, link, consumers",advertise;link;consumers
"datasets in advertising such as the number of billboards ,the number of tv spot displayed per year",advertising;billboards;tv spot;per year
"small link prediction dataset with node attributes social network, author communications free",free;link prediction;social network;author communications
free link prediction dataset,free;link prediction
"small size (around 50 nodes) link prediction datasets with node attributes, network of which is not bipartite",50;link prediction;node attributes;network;which is not bipartite
"free link prediction dataset around 50 nodes,with real-valued attributes.preferably directed network and not be bipartite",free;50;link prediction;real-valued attributes;directed;not be bipartite
free small size link prediction dataset with node attributes,free;link prediction;node attributes
"a small size (around 50 nodes) link prediction dataset, with node attributes (preferably real-valued attributes), free",free;50;link prediction;node attributes;real-valued attributes
small link prediction datasets with node attributes,link prediction;node attributes
"small size (around 50 nodes), with node attributes ,preferably directed,not be bipartite,free,a social network, author communications",free;50;node attributes;directed;bipartite;social network;author communications
"not bipartite, link prediction, real-valued node attributes, social network, author communications",not bipartite;link prediction;real-valued node attributes;social network;author communications
small size link prediction dataset that can not be bipartite,link prediction;not be bipartite
open data for disease and symptoms,open;disease;symptoms
dataset about disease and symptoms,disease;symptoms
data for disease and symptoms.,disease;symptoms
open dataset containing data for disease and symptoms,open;disease;symptoms
datasets of disease and symptoms,disease;symptoms
"data for disease and symptoms, health prediction",disease;symptoms;health prediction
open datasets contains disease and symptoms information,open;disease;symptoms
data for disease and symptoms,disease;symptoms
"disease, symptoms, health",disease;symptoms;health
open dataset containing data for disease and symptoms.,open;disease;symptoms
deer thermal imaging,thermal imaging;deer;thermal imaging
thermal imaging of deer dataset,thermal imaging;thermal imaging;deer
the thermal imaging dataset of deer.,thermal imaging;thermal imaging;deer
the thermal imaging dataset of deer,thermal imaging;thermal imaging;deer
thermal imaging dataset of deer,thermal imaging;thermal imaging;deer
thermal imaging dataset of deer with vehicle collision,thermal imaging;thermal imaging;deer;vehicle collision
image datasets of deer,image;deer
 thermal imaging dataset of deer,thermal imaging;thermal imaging;deer
"image, wildlife vehicle collision avoidance, deer",image;wildlife;vehicle collision avoidance;deer
 the thermal imaging dataset of deer.,thermal imaging;thermal imaging;deer
oneIARG-AnCora Spanish (AnCora 3.0.1),oneIARG-AnCora;Spanish;AnCora;3.0.1;oneIARG-AnCora;AnCora
oneIARG-AnCora Spanish (AnCora 3.0.1),oneIARG-AnCora;Spanish;AnCora;3.0.1;oneIARG-AnCora;AnCora
dataset named IARG-AnCora Spanish (AnCora 3.0.1),IARG-AnCora;Spanish;AnCora;3.0.1;IARG-AnCora;AnCora
"Spanish training dataset AnCora for CoreNLP, specifically this oneIARG-AnCora Spanish (AnCora 3.0.1)",Spanish;AnCora;oneIARG-AnCora;Spanish;AnCora;3.0.1;AnCora for CoreNLP;oneIARG-AnCora;AnCora
AnCora 3.0.1,AnCora;3.0.1;AnCora
 oneIARG-AnCora Spanish (AnCora 3.0.1),oneIARG-AnCora;Spanish;AnCora;3.0.1;oneIARG-AnCora;AnCora
Spanish training datasets,Spanish
" Spanish training dataset AnCora, oneIARG-AnCora Spanish (AnCora 3.0.1)",Spanish;AnCora;oneIARG-AnCora;Spanish;AnCora;3.0.1;AnCora;oneIARG-AnCora;AnCora
"Spanish , AnCora",Spanish;AnCora;AnCora
Spanish training dataset AnCora ,Spanish;AnCora;AnCora
clustering ground truth labels high dimensionality,clustering;ground truth labels;high dimensionalit
clustering dataset for natural clustering with ground truth labels,clustering;natural clustering;ground truth labels
"clustering dataset with ""ground truth"" labels for some known natural clustering and high dimensionality","clustering;""ground truth"" labels;natural clustering;high dimensionality"
"a clustering dataset with ""ground truth"" labels for some known natural clustering and with high dimensionality","clustering;""ground truth"" labels;natural clustering;high dimensionality"
natural clustering  dataset,natural clustering
"labeled dataset for clustering, for some known natural clustering,  high dimensionality ",labeled;clustering;natural clustering;high dimensionality
"clustering dataset of known natural clustering which has ""ground truth"" labels","clustering;natural clustering;""ground truth"" labels"
"clustering dataset with ""ground truth"" labels,preferably with high dimensionality","clustering;""ground truth"" labels;high dimensionality"
"natural clustering, ground truth labels, high dimensionality",natural clustering;ground truth labels;high dimensionality
"a clustering dataset with ""ground truth"" labels","clustering;""ground truth"" labels"
text corpus simple format random article,corpus;article
random corpus of fulltext style data,fulltext;corpus
A corpus of text to run some trial fulltext style data searches across,text;fulltext;corpus
provide corpus about trial fulltext style data searches across,fulltext;corpus
datasets for  trial fulltext style data searches across,fulltext;trial fulltext style
"corpus of text, e.g. wikipedia articles",wikipedia;corpus of text
a corpus of text dataset,corpus of text
" trial fulltext style data searches,a bit more random",fulltext;trial fulltext style
"corpus of text, trial fulltext style data search,  2 column",text;2;corpus
a corpus of text to run some trial fulltext style data ,text;corpus
"temparture recordings, humidity dummy customer details",temparture;humidity
"sample data of temparture recordings, humidity etc from NEST based thermostat and SMOKE CO detectors",temparture;humidity;NEST based thermostat;SMOKE CO detectors
data of temparture recordings or humidity with dummy customer details,temparture;humidity;dummy customer
"need temparture recordings, humidity of NEST based thermostat and SMOKE CO detectors from real devices",NEST;temparture;humidity;NEST based thermostat;SMOKE CO detectors
"datasets for temparture recordings, humidity of  thermostat and SMOKE CO detectors",temparture;humidity;thermostat;SMOKE CO detectors
"sample data of temparture recordings, humidity etc without purchasing the device with dummy customer details",temparture;humidity;dummy customer
tempature recording and humidity datasets,tempature;humidity
"sample data of temparture recordings, humidity, some dummy customer details",temparture;humidity;dummy customer
"temparture recordings, humidity, thermostat , detector",temparture;humidity;thermostat;detector
"dataset  of temparture recordings, humidity ",temparture;humidity
public hotel price data,public;hotel price
dataset of hotel prices,hotel prices
hotel prices data,hotel prices
need a open dataset of hotel prices,open;hotel prices
public dataset of hotel prices,public;hotel prices
dataset of hotel prices,hotel prices
hotel prices datasets,hotel prices
 hotel prices,hotel prices
hotel prices,hotel prices
dataset of hotel prices,hotel prices
"location, capacity, company / owner and year of establishment for data centers Google, Amazon, Facebook",location;capacity;company;owner;year of establishment;data centers;Google;Amazon;Facebook
"data centers location, capacity, company/owner and establishment time",data centers;location;capacity;company;owner;establishment time
" Location, capacity, company / owner and year of establishment of data centers(eg. of Google, Amazon, Facebook)",Location;capacity;company;owner;year of establishment;data centers;Google;Amazon;Facebook
"a dataset on the location, capacity, company / owner and year of establishment for data centers",location;capacity;company;owner;year of establishment;data centers
"dataset for data center contains its' location, capacity, company / owner and year of establishment",data center;location;capacity;company;owner;year of establishment
"dataset on the location, capacity, company / owner and year of establishment for data centers (eg. of Google, Amazon, Facebook)",location;capacity;company;owner;year of establishment;data centers;Google;Amazon;Facebook
 data centers datasets,data centers
" location, capacity, company / owner and year of establishment for data centers",location;capacity;company;owner;year of establishment;data centers
"data centers, location, capacity, company / owner and year of establishment",data centers;location;capacity;company;owner;year of establishment
dataset some information about establishment for data centers,information about establishment;data centers
Russia's transportation in English,Russia;English;Russia's transportation
dataset about russia transportation in english,russia;english;russia transportation
english dataset about Russia's transportation,english;Russia;Russia's transportation
need georeference of  Russia's transportation in English version,Russia;English;georeference;Russia's transportation
english version dataset for Russia's transportation,english;Russia;Russia's transportation
"dataset about Russia's transportation, georeference,  Russian",Russia;Russian;Russia's transportation;georeference
russia's transportation datasets,russia;russia's transportation
"Russia's transportation,English version, georeference ",Russia;English;Russia's transportation;georeference
"Russia's transportation,  St. Petersburg, English ",Russia;St. Petersburg;English;Russia's transportation
dataset about Russia's transportation,Russia;Russia's transportation
large relation tuples dataset,relation tuples
dataset contains large quantities of relation tuples,relation tuples
 large quantities of relation tuples which can be downloaded,can be downloaded;relation tuples
large scale dataset for relation tuples,relation tuples
"dataset which contains large quantities of relation tuples, e.g.  University of Washington's OpenIE",University of Washington;OpenIE;relation tuples
a lot of raltion tuples can be download,can be download;raltion tuples
datasets which has many relation tuples,relation tuples
contains large quantities of relation tuples,relation tuples
"relation tuple, large quantities, download ",download;relation tuple
"dataset which contains relation tuples such as ""people"", ""location"", ""lives in""",relation tuples
ontology dataset describing project type industry product,project;type;industry;product
ontology dataset with Project,Project
"ontology dataset which  describe the concept: ""Project""","""Project"""
"ontology dataset contains concept ""Project""","""Project"""
"ontology dataset which describe the concept: ""Project""","""Project"""
a ontology dataset with the type of the project and industries involved in the project,type;project;industries;project
"ontology datasets contains description of the concept ""Project""","description;""Project"""
" ontology dataset,describe the concept: ""Project""","""Project"""
"ontology , Project, type of the project industries involved in the project",Project;type;project;industries;project
"ontology dataset which descibe the concept:""Project""","""Project"""
open data of employees days off their annual leave for the countries of the EU,open;EU;employees;days off their annual leave
emplyees in coutries of EU annul leave dates,EU;emplyees;annul leave dates
data about employees took days off their annual leave for the countries of the EU.,EU;employees;annual leave
public dataset contains EU employees' annually leave days,public;EU;employees;annually leave days
open dataset about the dates that employees took days off their annual leave for the countries of the EU,open;EU;dates;employees;annual leave
give a dataset about the dates that employees took days off their annual leave for the countries of the EU,EU;dates;employees;annual leave
open datasets contains dates that employees took days off therir annual leave for the countries,open;dates;employees;annual leave
preferably open dataset£¬ the dates that employees took days off their annual leave for the countries of the EU,open;EU;dates;employees;annual leave
"the countries of the EU, take days off annual leave, dates ",EU;countries of the EU;annual leave;dates
dataset contains information regarding the dates that employees took days off,dates;employees;took days off
photos of clean streets vs streets with garbage in them,photos;clean;streets;streets;with garbage
"photos of street, clean or garbage",photos;street;clean;garbage
 Photos of clean streets vs streets with garbage in them¡£,Photos;clean;streets;streets;with garbage
dataset contains photos of clean streets,photos;clean;streets
"large dataset for detecting trash in urban areas, contains photos of clean streets vs streets with garbage in them",photos;trash;clean;streets;streets;with garbage
need photos of clean streets vs streets with garbage in them,photos;clean;streets;streets;with garbage
datasets contains photos of streets which are clean or with garbage,photos;streets;clean;with garbage
 sizable training dataset£¬photos of clean streets vs streets with garbage in them,photos;clean;streets;streets;with garbage
"trash in urban areas,  photos of clean streets vs streets with garbage",photos;trash;clean;streets;streets;with garbage
dataset contains  photos of clean streets vs streets with garbage,photos;clean;streets;streets;with garbage
"large dataset lat/lng coordinates csv PostgreSQL,PostGIS",csv;PostgreSQL;PostGIS;lat/lng coordinates
large dataset with lat/lng coordinates in csv,csv;lat/lng
"large  sample dataset that contains longitude and latitude coordinates, preferably in csv format",csv;longitude;latitude
large scale datasets contains lat/lng coordinates. ,lat/lng coordinates
"large sample dataset that has latitude or longitude coordinates, csv",csv;latitude;longitude
a large sample dataset with csv format has lat/lng coordinates,csv;lat/lng coordinates
large datasets which has latitude or longitude coordinates,latitude;longitude
a large sample dataset has lat/lng coordinates  in csv format..,csv;lat/lng coordinates
"large sample, csv format, lat/lng coordinates",csv;lat/lng coordinates
lat/lng coordinates dataset,lat/lng coordinates
"full game reviews names, scores date",game reviews;names;scores;date
"dataset include game reviews, game names, scores and review date",game reviews;game names;scores;review date
"full game reviews with game names, scores and date of the review",game reviews;game names;scores;date of the review
datasets include full game reviews ,full game reviews
"dataset include full game reviews with game names, scores and date of the review",game reviews;game names;scores;date of the review
"give a dataset contains full game reviews with game names, scores and date of the review",game reviews;game names;scores;date of the review
datasets of game review,game review
"datasets include full game reviews with game names, scores and date of the review.",game reviews;game names;scores;date of the review
"game review,  game names, scores, websites ",game review;game names;scores;websites
"datasets which will include full game reviews with game names, scores and date of the review",game reviews;game names;scores;date of the review
annotated German IMDB,German;IMDB;annotated;IMDB
annotated moive review dataset in German,German;annotated;moive review
annotated dataset in German similar to the well-known English IMDB movie review dataset,German;English;IMDB;annotated;movie review
datasets for annotated in German,German;annotated
"dataset with German text, about IMDB movie review ",German;text;IMDB;IMDB movie review
movie review dataset in German about positive sentiment / negative / neutral,German;movie review;positive sentiment;negative;neutral
datasets similar to IMDB but in German,IMDB;German;IMDB
 an annotated dataset in German similar to the well-known English IMDB movie review dataset .,German;English;IMDB;annotated;movie review
"annotated, movie review, multiple categories, German ",German;annotated;movie review
movie review dataset in German,German;movie review
high temporal frequency wind data Once per minute TCOONS nationwide,TCOONS;high temporal frequency;wind;Once per minute;TCOONS
High temporal frequency(e.g. once per minute) wind data,High temporal frequency;once per minute;wind
dataset about high temporal frequency wind once per minute,high temporal frequency;wind;once per minute
dataset for  high temporal frequency wind data,high temporal frequency;wind
"high temporal frequency wind data, once per minute, e.g. eTCOONS dataset",eTCOONS;high temporal frequency;wind;once per minute;eTCOONS
wind data with once per minute frequency,wind;once per minute frequency
high temporal frequency wind datasets,high temporal frequency;wind
data sources providing high temporal frequency wind data like TheTCOONS.,TheTCOONS;high temporal frequency;wind;TheTCOONS
"high temporal frequency wind data, Once per minute, Weather Service",high temporal frequency;wind;Once per minute;Weather Service
dataset which provide high temporal frequency wind data,high temporal frequency;wind
outcomes of Formula 1 races specifications drivers weather geographic,outcomes;Formula 1 races;specifications;drivers;weather;geographic
cars partook in Formula 1 races and their specifications,cars partook;Formulas 1 race;specifications
Provide the outcomes of Formula 1 races and the  specifications of cars partook in the race,outcomes;Formula 1 races;specifications of cars partook
dataset for Formula 1 races' outcomes,Formula 1 races;outcomes
"dataset include outcomes of Formula 1 races, cars partook in the race, and the specifications of these cars, drivers, weather",outcomes;Formula 1 races;cars partook;specifications
"type of tire used,engine and parameters that describe the shape of the car in Formula 1 races",type of tire used;engine;parameters;shape of the car;Formula 1 races
datasets on F1 races,F1 races
"on Formula 1 racing,cars partook in the race, the specifications of cars,weather ,geographic information of the race track",Formula 1 racing;cars partook;specifications;weather;geographic information
"Formula 1 races, outcomes, specifications of F1 cars, cars took part in the race, drivers , weather conditions",Formula 1 races;outcomes;specifications;cars;drivers;weather conditions
dataset about cars partook in the race  and the specifications of these cars,cars partook;specifications
mother's education father's education for adults in low and middle income countries,mother's education;father's education;for adults;low and middle income countries
data about mother's and father's education for adults,mother's and father's education;for adults
data about mother's education and father's education for adults in various low and middle income countries,mother's education;father's education;for adults;low and middle income countries
dataset for parents' education,parents' education
"dataset about parental education for various low and middle income countries, mother's education and father's education",parental education;low and middle income countries;mother's education;father's education
mother's education and father's education for adults from various low and middle income countries,mother's education;father's education;for adults;low and middle income countries
datasets of parents' education,parents' education
" mother's education and father's education for adults , various low and middle income countries",mother's education;father's education;for adults;low and middle income countries
"mother's education and father's education, low and middle income countries, parental education on individual's education",mother's education;father's education;low and middle income countries;parental education;individual's education
 dataset about mother's education and father's education for adults ,mother's education;father's education;for adults
GSR (skin conductivity) / heart rate emotions and pain levels,GSR (skin conductivity);heart rate emotions;pain levels
"dataset classifies the GSR, heart rate readings to emotions and pain levels",GSR;heart rate readings;emotions;pain levels
dataset that classifies GSR (skin conductivity) or heart rate readings to emotions and pain levels,GSR (skin conductivity);heart rate readings;emotions;pain levels
GSR / heart rate datasets,GSR;heart rate
  dataset classifies GSR (skin conductivity) / heart rate readings to emotions and pain levels,GSR (skin conductivity);heart rate readings;emotions;pain levels
any dataset classify the GSR (skin conductivity) / heart rate readings to emotions and pain levels,GSR (skin conductivity);heart rate readings;emotions;pain levels
datasets of GSR and heart rate readings to emotions and pain levels,GSR;heart rate readings;emotions;pain levels
 classifies the GSR (skin conductivity) / heart rate readings to emotions and pain levels,GSR (skin conductivity);heart rate readings;emotions;pain levels
"skin conductivity heart rate, emotions , pain levels",skin conductivity;heart rate;emotions;pain levels
 emotions and pain levels  dataset,emotions;pain levels
judicial decisions in France,France;judicial decisions
judicial decisions in France,France;judicial decisions
french  judicial decisionsin,french;judicial decisionsin
judicial decisionsin france datasets,france;judicial decisionsin
datasets containing judicial decisionsin France,France;judicial decisionsin
judicial decisionsin France,France;judicial decisionsin
judicial decisionsin France datasets,France;judicial decisions
 containing judicial decisionsin France.,France;judicial decisionsin
 judicial decision sin France,France;judicial decision;sin
datasets containing judicial decisionsin France,France;judicial decisionsin
OLAP data in star schema (or snowflake) Foodmart sql csv,star schema;snowflake;Foodmart;sql;csv;OLAP
large OLAP dataset with dimensions and associated facts in star schema or snowflake,star schema;snowflake;OLAP;dimensions;associated facts
large OLAP data preferably in star schema (or snowflake) for testing a new tool,star schema;snowflake;OLAP
OLAP datasets,OLAP
large OLAP data in star schema (or snowflake) has dimensions and associated facts£¬ SQL or CSV,star schema;snowflake;SQL;CSV;OLAP;dimensions;associated facts
 OLAP data in star schema (or snowflake) in SQL or CSV,star schema;snowflake;SQL;CSV;OLAP
OLAP datasets with star schema,star schema;OLAP
"OLAP data preferably in star schema (or snowflake) ,has dimensions and associated facts,larger size ",star schema;snowflake;OLAP;dimensions;associated facts
"snowflake, large, SQL or CSV, star schema ",snowflake;SQL;CSV;star schema
OLAP dataset in star schema ,star schema;OLAP
online donation data,online donation
dataset for online donation,online donation
"online donation for people who need help,like Kiva",online donation
online donation datasets,online donation
"dataset about online donation, e.g. Kiva",online donation
 datasets for online donation for people who need help,online donation
online donation for people who need help datasets,online donation
online donation for people who need help,online donation
"online donation, people help",online donation
online donation dataset for people who need help,online donation
cut documents logical pieces topics,documents;logical pieces;topics
document cut into logical peces based on topics,document;logical peces;topics
some text  that has already been segmented based on their topic,text;segmented;topic
segmented text datasets,text;segmented text
"segmented news articles,  logical pieces based on their topics",segmented news articles;logical pieces;topics
 dataset of documents where the documents have been cut into logical pieces based on their topics,documents;documents;logical pieces;topics
clustering computing NLP datasets for unsupervise text segmentations,text;clustering computing;NLP;text segmentations
documents been cut into logical pieces based on their topics.newspaper along with markers saying ends and  beings,documents;logical pieces;topics;newspaper;markers
"documents , logical pieces , pop culture/entertainment",documents;logical piece;pop culture;entertainment
 a dataset of documents where the documents have been cut into logical pieces based on their topics,documents;logical pieces;topics
"search engine query logs e-Commerce politics amazon, alibaba, google",search engine query logs;e-Commerce politics
